======================================================================
  MAPPO+AAI  seed=42  per-step reward log
  evaluation/nalpari_v1/mappo_aai/episodes/mappo+aai_seed42.npz
======================================================================
  Total steps : 300  (index 0 = initial state, no reward)
  Mean reward : -42.607
  Min  reward : -81.027
  Max  reward : 2.954
  Positive steps : 54 / 300  (18.0%)

 step      reward   tgt0   tgt1  det_state       
  178    -41.6590  False   True  tgt1 only       
  179    -41.6459  False   True  tgt1 only       
  180    -41.6213  False   True  tgt1 only       
  181    -41.6056  False   True  tgt1 only       
  182    -40.5784  False   True  tgt1 only       
  183    -40.5620  False   True  tgt1 only       
  184    -40.5511  False   True  tgt1 only       
  185    -41.5311  False   True  tgt1 only       
  186    -41.5150  False   True  tgt1 only       
  187    -41.4959  False   True  tgt1 only       
  188    -40.4747  False   True  tgt1 only       
  189    -40.4509  False   True  tgt1 only       
  190    -40.4417  False   True  tgt1 only       
  191    -40.4234  False   True  tgt1 only       
  192    -40.4041  False   True  tgt1 only       
  193    -40.3882  False   True  tgt1 only       
  194    -40.3638  False   True  tgt1 only       
  195    -40.3407  False   True  tgt1 only       
  196    -40.3286  False   True  tgt1 only       
  197    -40.3211  False   True  tgt1 only       
  198    -40.3365  False   True  tgt1 only       
  199    -40.3149  False   True  tgt1 only       
  200    -40.3131  False   True  tgt1 only       
  201    -40.3088  False   True  tgt1 only       
  202    -40.3061  False   True  tgt1 only       
  203    -40.3130  False   True  tgt1 only       
  204    -40.3158  False   True  tgt1 only       
  205    -40.3186  False   True  tgt1 only       
  206    -40.3276  False   True  tgt1 only       
  207    -40.3420  False   True  tgt1 only       
  208    -40.3600  False   True  tgt1 only       
  209    -40.3801  False   True  tgt1 only       
  210    -40.4035  False   True  tgt1 only       
  211    -40.4287  False   True  tgt1 only       
  212    -40.4456  False   True  tgt1 only       
  213    -40.4572  False   True  tgt1 only       
  214    -40.4637  False   True  tgt1 only       
  215    -40.4700  False   True  tgt1 only       
  216    -40.4706  False   True  tgt1 only       
  217    -40.4667  False   True  tgt1 only       
  218    -40.4630  False   True  tgt1 only       
  219    -40.4515  False   True  tgt1 only       
  220    -40.4318  False   True  tgt1 only       
  221    -40.4219  False   True  tgt1 only       
  222    -40.4109  False   True  tgt1 only       
  223    -40.4064  False   True  tgt1 only       
  224    -40.3972  False   True  tgt1 only       
  225    -40.3985  False   True  tgt1 only       
  226    -40.3989  False   True  tgt1 only       
  227    -40.3937  False   True  tgt1 only       
  228    -40.3937  False   True  tgt1 only       
  229    -40.3975  False   True  tgt1 only       
  230    -40.3978  False   True  tgt1 only       
  231    -41.4282  False   True  tgt1 only       
  232    -41.4778  False   True  tgt1 only       
  233    -41.4801  False   True  tgt1 only       
  234    -41.4830  False   True  tgt1 only       
  235    -41.4850  False   True  tgt1 only       
  236    -41.4843  False   True  tgt1 only       
  237    -41.4850  False   True  tgt1 only       
  238    -41.4926  False   True  tgt1 only       
  239    -41.5015  False   True  tgt1 only       
  240    -41.5040  False   True  tgt1 only       
  241    -41.5084  False   True  tgt1 only       
  242    -41.5107  False   True  tgt1 only       
  243    -41.5215  False   True  tgt1 only       
  244    -41.5332  False   True  tgt1 only       
  245    -41.5524  False   True  tgt1 only       
  246    -41.5766  False   True  tgt1 only       
  247    -41.6027  False   True  tgt1 only       
  248    -41.6265  False   True  tgt1 only       
  249    -41.6529  False   True  tgt1 only       
  250    -41.6981  False   True  tgt1 only       
  251    -41.7171  False   True  tgt1 only       
  252    -43.1681  False   True  tgt1 only       
  253    -67.0681  False  False  none            
  254    -67.0727  False  False  none            
  255    -67.0881  False  False  none            
  256    -68.1902  False  False  none            
  257    -68.2378  False  False  none            
  258    -68.3066  False  False  none            
  259    -68.4033  False  False  none            
  260    -68.5281  False  False  none            
  261    -68.6813  False  False  none            
  262    -68.8707  False  False  none            
  263    -69.1026  False  False  none            
  264    -69.3767  False  False  none            
  265    -69.7017  False  False  none            
  266    -70.0800  False  False  none            
  267    -70.5173  False  False  none            
  268    -71.0148  False  False  none            
  269    -71.5752  False  False  none            
  270    -72.2068  False  False  none            
  271    -72.9102  False  False  none            
  272    -73.6899  False  False  none            
  273    -74.5513  False  False  none            
  274    -75.4985  False  False  none            
  275    -76.5348  False  False  none            
  276    -77.6607  False  False  none            
  277    -78.1362  False  False  none            
  278    -78.1353  False  False  none            
  279    -78.1359  False  False  none            
  280    -78.1361  False  False  none            
  281    -78.1364  False  False  none            
  282    -78.1367  False  False  none            
  283    -78.1378  False  False  none            
  284    -78.1347  False  False  none            
  285    -78.1337  False  False  none            
  286    -78.1344  False  False  none            
  287    -78.1370  False  False  none            
  288    -78.1337  False  False  none            
  289    -78.1322  False  False  none            
  290    -78.1330  False  False  none            
  291    -78.1311  False  False  none            
  292    -78.1328  False  False  none            
  293    -78.1324  False  False  none            
  294    -78.1337  False  False  none            
  295    -78.1302  False  False  none            
  296    -78.1297  False  False  none            
  297    -78.1301  False  False  none            
  298    -78.1316  False  False  none            
  299    -78.1305  False  False  none            
  300    -78.1275  False  False  none            

======================================================================
